id,noise,comfort_score,recommendation,comfort_fuzzy,recommendation_fuzzy
1,32.7,95.2,Nyaman,86.66666666666664,Nyaman
2,33.0,96.3,Nyaman,86.66666666666664,Nyaman
3,35.3,93.4,Nyaman,86.66666666666664,Nyaman
4,37.8,87.1,Nyaman,86.66666666666664,Nyaman
5,36.3,88.5,Nyaman,86.66666666666664,Nyaman
6,37.5,86.9,Nyaman,86.66666666666664,Nyaman
7,41.3,84.7,Nyaman,86.4672566371681,Nyaman
8,41.3,83.7,Nyaman,86.4672566371681,Nyaman
9,40.6,83.4,Nyaman,86.62138364779868,Nyaman
10,43.3,78.1,Nyaman,85.57493734335839,Nyaman
11,42.9,81.6,Nyaman,85.79741602067178,Nyaman
12,44.1,79.2,Nyaman,85.07706855791962,Nyaman
13,46.3,77.7,Nyaman,74.22628979937592,Nyaman
14,44.3,81.0,Nyaman,84.94265734265734,Nyaman
15,45.7,74.8,Nyaman,78.70835835516085,Nyaman
16,48.6,69.4,Cukup Nyaman,59.30445870352081,Cukup Nyaman
17,49.1,71.5,Nyaman,56.076281362573454,Cukup Nyaman
18,52.2,64.6,Cukup Nyaman,49.99999999999999,Cukup Nyaman
19,51.6,66.9,Cukup Nyaman,50.0,Cukup Nyaman
20,52.0,68.3,Cukup Nyaman,50.00000000000001,Cukup Nyaman
21,57.5,58.1,Cukup Nyaman,49.99999999999999,Cukup Nyaman
22,56.1,57.8,Cukup Nyaman,49.99999999999999,Cukup Nyaman
23,57.7,58.5,Cukup Nyaman,49.999999999999986,Cukup Nyaman
24,56.6,56.9,Cukup Nyaman,49.99999999999999,Cukup Nyaman
25,59.1,61.6,Cukup Nyaman,49.99999999999999,Cukup Nyaman
26,61.2,51.5,Cukup Nyaman,41.976715228489624,Cukup Nyaman
27,60.5,54.0,Cukup Nyaman,46.57565966612818,Cukup Nyaman
28,64.0,49.6,Cukup Nyaman,23.576519916142573,Tidak Nyaman
29,63.7,49.3,Cukup Nyaman,25.773710200624006,Tidak Nyaman
30,65.3,51.0,Cukup Nyaman,15.33696145124717,Tidak Nyaman
31,66.0,46.4,Cukup Nyaman,14.857142857142858,Tidak Nyaman
32,70.8,38.0,Tidak Nyaman,13.333333333333334,Tidak Nyaman
33,69.2,38.2,Tidak Nyaman,13.412345679012342,Tidak Nyaman
34,68.8,42.8,Cukup Nyaman,13.504761904761905,Tidak Nyaman
35,72.8,37.4,Tidak Nyaman,13.333333333333334,Tidak Nyaman
36,70.9,39.7,Tidak Nyaman,13.333333333333334,Tidak Nyaman
37,74.2,31.9,Tidak Nyaman,13.333333333333334,Tidak Nyaman
38,72.1,36.2,Tidak Nyaman,13.333333333333334,Tidak Nyaman
39,74.2,34.7,Tidak Nyaman,13.333333333333334,Tidak Nyaman
40,77.7,27.5,Tidak Nyaman,13.333333333333334,Tidak Nyaman
41,79.6,25.3,Tidak Nyaman,13.333333333333334,Tidak Nyaman
42,80.0,23.1,Tidak Nyaman,13.333333333333334,Tidak Nyaman
43,80.7,25.4,Tidak Nyaman,13.333333333333334,Tidak Nyaman
44,81.6,23.3,Tidak Nyaman,13.333333333333334,Tidak Nyaman
45,81.0,24.3,Tidak Nyaman,13.333333333333334,Tidak Nyaman
46,83.3,23.0,Tidak Nyaman,13.333333333333334,Tidak Nyaman
47,84.8,17.2,Tidak Nyaman,13.333333333333334,Tidak Nyaman
48,88.3,12.1,Tidak Nyaman,13.333333333333334,Tidak Nyaman
49,88.4,12.5,Tidak Nyaman,13.333333333333334,Tidak Nyaman
50,86.4,15.9,Tidak Nyaman,13.333333333333334,Tidak Nyaman
